País;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Letônia;43,547;45,412;47,205;49,007;50,622;53,268;56,254;59,547;63,006;66,763;70,882
Trinidad e Tobago;42,704;44,545;45,081;45,303;43,553;44,654;47,223;49,843;52,372;54,199;56,126
Honduras;35,835;37,43;39,265;41,132;43,174;45,628;48,328;51,265;54,287;57,491;60,917
Bósnia-Herzegovina;36,463;37,939;39,036;40,669;42,234;44,462;47,048;49,907;52,899;56,151;59,613
Laos;28,822;31,621;34,756;37,747;40,898;44,639;48,711;53,253;58,079;63,408;69,086
Senegal;30,55;32,16;34,155;36,762;39,694;43,326;47,399;51,861;56,661;61,918;67,28
Estônia;33,785;34,817;36,44;37,364;38,451;40,275;42,331;44,431;46,6;48,922;51,419
Mali;29,423;30,587;33,328;35,695;38,107;40,974;43,872;46,942;50,139;53,559;57,243
Madagascar;31,2;32,419;34,094;35,535;37,492;40,055;42,922;46,053;49,308;52,817;56,612
Geórgia;30,701;32,254;34,349;35,719;37,174;39,318;41,8;44,62;47,792;51,425;55,403
Mongólia;28,055;31,829;34,954;36,163;36,996;37,731;39,278;43,381;46,619;50,47;55,913
Botsuana;29,555;33,439;35,45;35,222;36,708;39,054;41,601;44,348;47,192;50,121;53,242
Gabão;28,912;31;32,955;34,601;35,85;36,999;38,833;41,318;44,104;47,122;50,459
Moçambique;25,996;28,302;30,954;33,354;34,942;37,321;40,255;43,606;47,378;51,479;60,372
Albânia;29,556;30,334;31,441;32,602;34,155;36,198;38,526;40,999;43,556;46,276;49,194
Nicarágua;26,377;28,018;29,822;31,628;33,55;35,835;38,212;40,808;43,504;46,383;49,478
Burkina Faso;25,677;27,568;29,235;30,742;32,827;35,598;38,701;42,105;45,76;49,704;53,877
Brunei;33,38;33,199;32,945;33,165;32,536;32,838;33,792;37,719;42,052;47,754;51,322
Guiné Equatorial;37,689;36,715;37,185;34,79;31,72;30,807;29,891;29,278;28,922;28,949;29,04
Macedônia;25,192;26,347;27,793;29,171;30,265;31,924;33,748;35,73;37,836;40,069;42,457
Congo Brazzaville;25,522;26,782;29,127;30,212;29,777;30,607;34,054;35,319;37,087;38,746;40,424
Chipre;28,924;27,641;27,706;28,473;29,666;31,093;32,515;33,948;35,347;36,813;38,363
Chade;25,408;27,304;29,708;30,559;28,988;29,73;31,13;32,79;34,656;36,69;39,024
Zimbábue;24,458;25,967;27,449;28,054;28,571;29,795;30,002;30,66;31,577;32,5;33,462
Papua-Nova Guiné;21,522;22,905;25,029;26,973;28,013;29,481;31,113;32,862;34,655;36,558;38,596
Tajiquistão;18,925;20,653;22,432;24,033;26,03;27,802;29,845;32,177;34,796;37,631;40,719
Namíbia;20,675;22,197;24,054;25,6;25,962;27,451;29,426;31,349;33,223;35,151;37,207
Maurício;21,321;22,356;23,581;24,669;25,893;27,507;29,252;31,127;33,063;35,111;37,305
Armênia;22,032;23,126;24,389;25,395;25,783;27,116;28,527;30,028;31,583;33,318;35,372
Jamaica;23,218;23,639;24,19;24,684;25,394;26,474;27,717;29,075;30,485;31,973;33,552
Benin;18,389;20,031;21,684;22,377;23,585;25,407;27,543;29,914;32,549;35,551;38,525
Ruanda;16,562;17,617;19,299;21,237;22,793;24,717;26,989;29,594;32,456;35,59;39,048
Quirguistão;16,388;18,471;19,558;20,454;21,504;22,737;24,127;25,941;27,775;29,612;31,858
Malaui;17,046;18,222;19,605;20,401;21,138;22,577;24,237;26,131;28,124;30,272;32,601
Sudão do Sul;17,079;22,446;23,514;23,726;20,713;20,423;20,654;21,924;23,936;25,162;26,693
Níger;15,582;16,668;18,162;19,009;20,144;21,655;23,363;25,171;27,663;30,031;32,725
Haiti;16,607;17,591;18,408;18,831;19,354;19,979;21,039;22,145;23,27;24,453;25,711
Moldávia;15,041;16,72;17,836;17,955;18,919;20,207;21,424;22,726;24,065;25,51;27,057
Kosovo;15,419;16,207;16,699;17,57;18,442;19,509;20,672;21,883;23,173;24,588;26,104
Malta;12,811;13,583;14,974;16,26;17,304;18,404;19,473;20,539;21,602;22,708;23,884
Islândia;13,133;13,933;14,456;15,21;16,519;17,846;18,909;19,947;20,983;21,967;23,013
Mauritânia;13,507;14,561;15,648;15,962;16,418;17,421;18,296;19,559;20,988;22,378;23,757
Guiné;13,982;14,423;14,837;15,01;16,001;17,056;18,292;19,766;21,104;22,521;23,929
Togo;8,889;9,583;10,282;10,943;11,642;12,494;13,45;14,488;15,607;16,815;18,126
Suazilândia;9,558;10,18;10,738;10,973;11,07;11,352;11,644;11,966;12,287;12,619;12,97
Serra Leoa;9,665;11,856;12,619;10,127;10,764;11,551;12,593;13,693;15,031;16,489;18,067
Montenegro;8,768;9,226;9,559;9,991;10,361;10,934;11,555;12,13;12,675;13,319;14,019
Eritreia;7,367;7,714;8,244;8,73;9,169;9,678;10,256;10,858;11,496;12,188;12,934
Bahamas;8,726;8,868;8,979;8,925;9,043;9,374;9,792;10,218;10,61;10,967;11,337
Fiji;6,706;7,137;7,672;8,032;8,298;8,798;9,329;9,87;10,418;11,005;11,623
Suriname;8,277;8,658;8,845;8,698;7,887;7,961;8,204;8,553;8,956;9,411;9,895
Burundi;7,044;7,583;8,066;7,83;7,851;8,024;8,216;8,431;8,644;8,864;9,093
Lesoto;5,828;6,134;6,459;6,693;6,976;7,287;7,625;8,065;8,537;9,074;9,64
Butão;5,062;5,328;5,638;6,048;6,509;7,045;8,01;9,31;10,3;11,054;11,989
Guiana;4,904;5,243;5,542;5,777;6,046;6,398;6,776;7,18;10,145;13,303;13,954
Maldivas;4,379;4,659;5,026;5,225;5,501;5,853;6,265;6,708;7,17;7,662;8,192
Timor-Leste;8,721;7,727;5,68;5,507;4,975;4,567;4,589;4,339;4,129;3,98;3,826
Barbados;4,415;4,483;4,567;4,657;4,794;4,983;5,187;5,38;5,554;5,735;5,924
Libéria;3,284;3,626;3,716;3,757;3,762;3,96;4,265;4,608;4,984;5,42;5,913
Cabo Verde;3,134;3,21;3,287;3,358;3,54;3,762;4,002;4,257;4,52;4,805;5,111
Gâmbia;2,864;3,049;3,132;3,302;3,427;3,607;3,816;4,041;4,275;4,531;4,811
Djibouti;2,501;2,669;2,88;3,1;3,345;3,658;4,002;4,376;4,732;5,117;5,537
República Centro-Africana;4,293;2,762;2,84;3,009;3,186;3,411;3,663;3,939;4,238;4,567;4,925
Belize;2,732;2,797;2,963;3,081;3,09;3,252;3,401;3,549;3,693;3,843;4,001
Guiné-Bissau;2,357;2,473;2,542;2,701;2,878;3,089;3,316;3,558;3,812;4,083;4,377
Seychelles;1,99;2,124;2,296;2,454;2,596;2,761;2,919;3,082;3,249;3,425;3,613
Antígua e Barbuda;1,873;1,931;2,06;2,161;2,271;2,372;2,466;2,563;2,659;2,759;2,865
Santa Lúcia;1,882;1,914;1,955;2,013;2,055;2,11;2,19;2,271;2,352;2,435;2,523
San Marino;1,959;1,931;1,947;1,978;2,024;2,093;2,168;2,243;2,318;2,396;2,478
Granada;1,187;1,234;1,349;1,448;1,512;1,588;1,667;1,75;1,833;1,92;2,013
São Cristóvão e Névis;1,14;1,234;1,321;1,4;1,459;1,544;1,633;1,718;1,805;1,894;1,985
Comores;1,091;1,148;1,191;1,217;1,259;1,329;1,414;1,502;1,594;1,691;1,795
São Vicente e Granadinas;1,114;1,16;1,183;1,203;1,241;1,299;1,366;1,437;1,51;1,587;1,665
Ilhas Salomão;1,013;1,06;1,1;1,132;1,185;1,247;1,313;1,382;1,452;1,528;1,609
Samoa;0,95;0,947;0,975;1,002;1,082;1,129;1,165;1,212;1,262;1,315;1,371
Dominica;0,732;0,75;0,795;0,79;0,805;0,847;0,885;0,923;0,961;0,998;1,034
Vanuatu;0,634;0,657;0,684;0,686;0,723;0,772;0,821;0,869;0,913;0,959;1,008
São Tomé e Príncipe;0,513;0,544;0,576;0,605;0,638;0,685;0,738;0,796;0,857;0,922;0,993
Tonga;0,484;0,489;0,512;0,536;0,563;0,597;0,633;0,663;0,69;0,717;0,745
Micronésia;0,312;0,307;0,305;0,32;0,331;0,345;0,358;0,369;0,379;0,389;0,4
Palau;0,235;0,233;0,247;0,273;0,277;0,297;0,319;0,339;0,356;0,371;0,386
Kiribati;0,173;0,186;0,193;0,202;0,212;0,222;0,232;0,241;0,25;0,259;0,269
Ilhas Marshall;0,166;0,167;0,171;0,175;0,181;0,188;0,196;0,203;0,21;0,217;0,224
Nauru;0,068;0,093;0,13;0,135;0,151;0,16;0,157;0,161;0,167;0,173;0,181
Tuvalu;0,033;0,034;0,036;0,037;0,039;0,041;0,042;0,044;0,046;0,048;0,05
